artist,track,id,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration
Taylor Swift,Fortnight (feat. Post Malone),6dODwocEuGzHAavXqTbwHv,0.504,0.386,-10.976,0.502,1.53e-05,0.0961,0.281,192.004,228965
Taylor Swift,The Tortured Poets Department,4PdLaGZubp4lghChqp8erB,0.604,0.428,-8.441,0.0483,0.0,0.126,0.292,110.259,293048
Taylor Swift,My Boy Only Breaks His Favorite Toys,7uGYWMwRy24dm7RUDDhUlD,0.596,0.563,-7.362,0.137,0.0,0.302,0.481,97.073,203801
Taylor Swift,Down Bad,1kbEbBdEgQdQeLXCJh28pJ,0.541,0.366,-10.412,0.56,1e-06,0.0946,0.168,159.707,261228
Taylor Swift,"So Long, London",7wAkQFShJ27V8362MqevQr,0.423,0.533,-11.388,0.73,0.00264,0.0816,0.248,160.218,262975
Taylor Swift,But Daddy I Love Him,4QMgEffJQuKtjCNvqfRZ0m,0.521,0.72,-7.684,0.384,0.0,0.135,0.438,79.943,340428
Taylor Swift,Fresh Out The Slammer,7IWcDWOfiooH5hRs9XOVYz,0.33,0.483,-9.394,0.624,0.0,0.111,0.34,87.115,210789
Taylor Swift,Florida!!! (feat. Florence + The Machine),5ExOm0dh4NyRyAdSAO9hyM,0.533,0.573,-7.123,0.178,0.0,0.309,0.398,150.088,215463
Taylor Swift,Guilty as Sin?,799KrpEbhZp0MHeiA8YK9P,0.626,0.428,-8.374,0.607,0.0,0.0921,0.487,94.95,254366
Taylor Swift,Who’s Afraid of Little Old Me?,2d8UxVNhJinc8uat9PoM9y,0.606,0.338,-10.555,0.315,0.0,0.106,0.238,119.88,334085
Taylor Swift,I Can Fix Him (No Really I Can),5chnRTB9qMK3W1M41SnU9s,0.661,0.257,-13.961,0.768,1.72e-06,0.176,0.318,106.896,156298
Taylor Swift,loml,3YkNIrAvbKNrrwwEd7NVLl,0.423,0.272,-12.56,0.858,0.0,0.108,0.195,78.539,277157
Taylor Swift,I Can Do It With a Broken Heart,2fPvQfGQEZOKtJ9qXeL4x8,0.701,0.751,-8.39,0.123,0.0,0.15,0.22,129.994,218005
Taylor Swift,The Smallest Man Who Ever Lived,1xtw1krCR6Dw2KwkXw5z63,0.426,0.41,-9.083,0.52,0.0,0.338,0.263,142.377,245542
Taylor Swift,The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,0.64,0.421,-8.802,0.422,0.0,0.103,0.353,100.056,196900
Taylor Swift,Clara Bow,4d9PtIEVij9jW5OaLinH66,0.686,0.318,-11.046,0.636,0.00144,0.106,0.214,104.088,216662
Taylor Swift,The Black Dog,62E2nR0od0M5HYxuYLaDz7,0.527,0.27,-10.855,0.707,0.0,0.102,0.23,154.042,238857
Taylor Swift,imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,0.784,0.391,-9.471,0.608,0.0,0.252,0.15,110.007,222072
Taylor Swift,The Albatross,4EF6IyONolQy0bIQXm2EmX,0.352,0.479,-8.942,0.655,0.0,0.0935,0.292,172.013,183879
Taylor Swift,Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,0.516,0.451,-8.552,0.78,0.0,0.105,0.218,70.266,213281
Taylor Swift,How Did It End?,5Bedn0svl0ZD7RGmJkmKKw,0.492,0.379,-8.859,0.785,0.00093,0.108,0.273,83.993,238707
Taylor Swift,So High School,7Mts0OfPorF4iwOomvfqn1,0.366,0.866,-4.514,0.0274,3.07e-06,0.106,0.293,176.07,228800
Taylor Swift,I Hate It Here,3hlGuz3loYoLfI3bpwieWq,0.485,0.562,-7.197,0.717,0.0,0.357,0.297,105.953,243876
Taylor Swift,thanK you aIMee,7ogK4lJDVDMU6A6vYR5rvD,0.609,0.541,-8.013,0.609,0.0,0.122,0.252,95.997,263817
Taylor Swift,I Look in People's Windows,1Zai5UJ2di3qEuR2HeT2s8,0.763,0.274,-11.429,0.69,0.0,0.164,0.385,90.796,131907
